src_group	dst_group	hemi	n_edges	delta_mean	delta_median	frac_delta_positive	sign_flip_frac
neuron	muscle	L→X	43	-1.6888593169140207	-5.55563518158817	0.4418604651162791	0.5348837209302325
neuron	muscle	R→X	32	2.863456059430117	5.350123286722595	0.625	0.375
neuron	muscle	X→X	86	1.4231495783165606	1.9152877745633499	0.5465116279069767	0.37209302325581395
neuron	neuron	L→L	144	-1.9645779482933996	-0.21211259847944997	0.4861111111111111	0.4513888888888889
neuron	neuron	L→R	92	-2.6570005109603825	-3.327974926962195	0.40217391304347827	0.5
neuron	neuron	L→X	84	-1.4991368479647709	-1.7811858089761499	0.44047619047619047	0.5238095238095238
neuron	neuron	R→L	131	-2.3075048327629237	-1.8053076623104798	0.4198473282442748	0.48091603053435117
neuron	neuron	R→R	161	-1.9254624341412463	-1.17665849435392	0.4658385093167702	0.4720496894409938
neuron	neuron	R→X	79	-2.4003157531007377	-2.43918086189974	0.3924050632911392	0.5063291139240507
neuron	neuron	X→L	54	-0.14190429837816398	0.18008409151156513	0.5185185185185185	0.3888888888888889
neuron	neuron	X→R	51	0.7050091501639647	-0.91450607024564	0.49019607843137253	0.5490196078431373
neuron	neuron	X→X	162	-4.234920993722412	-3.65216928697233	0.36419753086419754	0.49382716049382713
neuron	sensory	L→L	10	-2.9043715290096177	-2.2873371716112048	0.4	0.6
neuron	sensory	L→R	3	9.58145107247673	4.85925510999489	1.0	0.0
neuron	sensory	R→L	2	7.629797302387409	7.629797302387409	0.5	0.5
neuron	sensory	R→R	26	-1.8775073196786396	-3.3180406424625053	0.38461538461538464	0.5384615384615384
neuron	sensory	X→L	2	6.37937354847469	6.37937354847469	0.5	0.0
sensory	muscle	L→X	8	3.642550471186401	9.939218097399095	0.75	0.25
sensory	muscle	R→X	3	-4.875629797489087	0.6494366795051576	0.6666666666666666	0.3333333333333333
sensory	neuron	L→L	24	-3.4231754290951044	-5.1233929409258	0.375	0.5416666666666666
sensory	neuron	L→R	8	-7.028894060265496	-9.154719061003485	0.125	0.625
sensory	neuron	L→X	1	17.83566523381352	17.83566523381352	1.0	0.0
sensory	neuron	R→L	5	-2.722007822756175	-5.32498480161343	0.4	0.6
sensory	neuron	R→R	22	-3.384895627887897	-5.92718251986709	0.3181818181818182	0.5909090909090909
sensory	neuron	R→X	1	-13.68545360546851	-13.68545360546851	0.0	1.0
sensory	sensory	L→L	3	13.06922894164938	14.41297161663523	1.0	0.0
sensory	sensory	L→R	1	20.10414089387933	20.10414089387933	1.0	0.0
sensory	sensory	R→L	3	-7.267409334831689	-11.17782458652455	0.3333333333333333	0.6666666666666666
sensory	sensory	R→R	1	-11.86388805288851	-11.86388805288851	0.0	1.0
